Name,NameTID,InfoTID,BgItemName,BgOfferScFilename,BgOfferPopup,SkinBuyRequiresExclusiveOption,EmoteBundleName,CampaignIconExportName,DisabledFromCatalog,ShowInCatalogCollectionsSection,CatalogSortingOrder,BundledUnderCatalogCategory,CatalogNameOverrideTID,CatalogDescriptionTID,UseSecondCampaing
ROBOTSMONSTERS,TID_SKIN_INFO_CAMPAIGN_ROBOTSMONSTERS,,,,,,,icon_skins_robotmonsters,,,,,,,
LNY,TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL,,,,,,,icon_skins_lny20,,,,,,,
CURSED,TID_SKIN_INFO_CAMPAIGN_CURSED,,,,,,,icon_skins_cursed,,,,,,,
ENCHANTED,TID_SKIN_INFO_CAMPAIGN_ENCHANTED,,,,,,,icon_skins_enchanted,,,,,,,
GOLDENBALL,TID_SKIN_INFO_CAMPAIGN_GOLDENBALL,,,,,,,icon_skins_goldball,,,,,,,
PHOENIX,TID_SKIN_INFO_CAMPAIGN_PHOENIX,,,,,,,icon_skins_phoenix,,,,,,,
UNIVERSITY,TID_SKIN_INFO_CAMPAIGN_UNIVERSITY,,,,,,,icon_skins_university,,,,,,,
WASTELAND,TID_SKIN_INFO_CAMPAIGN_WASTELAND,,,,,,,icon_skins_wasteland,,,,,,,
HARVESTFESTIVAL,TID_SKIN_INFO_CAMPAIGN_HARVESTFESTIVAL,,,,,,,icon_skins_harvestfestival,,,,,,,
HINDU,TID_SKIN_INFO_CAMPAIGN_HINDU,,,,,,,icon_skins_hindu,,,,,,,
CIRCUS,TID_SKIN_INFO_CAMPAIGN_CIRCUS,,,,,,,icon_skins_circus,,,,,,,
WF_2023,TID_SKIN_INFO_WF_2023,,,,,,,icon_skins_wf,,,,,,,
CARTOON,TID_SKIN_INFO_CAMPAIGN_CARTOON,,,,,,,icon_skins_cartoon,,,,,,,
CARNAVAL,TID_SKIN_INFO_CAMPAIGN_CARNAVAL,,,,,,,icon_skins_carnaval,,,,,,,
SUPERBOWL,TID_SKIN_INFO_CAMPAIGN_SUPERBOWL,,,,,,,icon_skins_superbowl,,,,,,,
STARRPARK,TID_SKIN_INFO_CAMPAIGN_STARRPARK,,,,,,,icon_skins_starrpark,,,,,,,
MEAL,TID_SKIN_INFO_CAMPAIGN_MEAL,,,,,,,icon_skins_meal,,,,,,,
GIFTSHOP,TID_SKIN_INFO_CAMPAIGN_GIFTSHOP,,,,,,,icon_skins_giftshop,,,,,,,
WC_2023,TID_SKIN_INFO_WC_2023,,,,,,,icon_skins_wf,,,,,,,
NORSEGODS,TID_SKIN_INFO_NORSEGODS,,,,,,,icon_skins_ragnarok,,,,,,,
BABYSHARK,TID_SKIN_INFO_BABYSHARK,,,,,,,icon_skins_babyshark,,,,,,,
APRILFOOLS,TID_SKIN_INFO_APRILFOOLS,,,,,,,icon_skins_aprilfools,,,,,,,
GODZILLA,TID_SKIN_INFO_GODZILLA,,,,,,,icon_skins_godzilla,,,,,,,
HACKER,TID_SKIN_INFO_HACKER,,,,,,,icon_skins_hacker,,,,,,,
SQUAD,TID_SKIN_INFO_SQUAD,,,,,,,icon_skins_squad,,,,,,,
MAXFORCE,TID_SKIN_INFO_MAXFORCE,,,,,,,icon_skins_maxforce,,,,,,,
CITY,TID_SKIN_INFO_CITY,,,,,,,icon_skins_city,,,,,,,
MUSIC,TID_SKIN_INFO_MUSIC,,,,,,,icon_skins_music,,,,,,,
MISC,TID_SKIN_INFO_MISC,,,,,,,icon_skins_misc,,,,,,,
ROYALS,TID_SKIN_INFO_ROYALS,,,,,,,icon_skins_royals,,,,,,,
GAMING,TID_SKIN_INFO_GAMING,,,,,,,icon_skins_gaming,,,,,,,
ANIMALS,TID_SKIN_INFO_ANIMALS,,,,,,,icon_skins_animals,,,,,,,
CAVE,TID_SKIN_INFO_CAVE,,,,,,,icon_skins_cave,,,,,,,
SPONGEBOB,TID_SKIN_INFO_SB,,,,,,,icon_skins_sb,,,,,,,
WF_2024,TID_SKIN_INFO_WF_2024,,,,,,,icon_skins_wf,,,,,,,
ANGELDEMONS,TID_SKIN_INFO_ANGELDEMONS,,,,,,,icon_skins_angeldemons,,,,,,,
USA,TID_SKIN_INFO_USA,,,,,,,icon_skins_usa,,,,,,,
TOYSTORY,TID_SKIN_INFO_TOYSTORY,,,sc/collab_toystory.sc,,,,icon_skins_toystory,,,,,,,
STARRFORCE,TID_SKIN_INFO_STARRFORCE,,,,,,,icon_skins_starrforce,,,,,,,
GOODRANDOMS,TID_SKIN_INFO_GOODRANDOMS,,,,,,,icon_skins_goodrandoms,,,,,,,
TOYS,TID_SKIN_INFO_TOYS,,,,,,,icon_skins_toys,,,,,,,
DARKSANDS,TID_SKIN_INFO_DARKSANDS,,,,,,,icon_skins_darksands,,,,,,,
SUPERHEROES,TID_SKIN_INFO_SUPERHEROES,,,,,,,icon_skins_superheroes,,,,,,,
UNO,TID_SKIN_INFO_UNO,,,,,,,icon_skins_uno,,,,,,,
PROPASS,TID_SKIN_INFO_PROPASS,,,,,,,icon_skins_propass,,,-20,,,,
KAIJU,TID_SKIN_INFO_KAIJU,,,,,,,icon_skins_kaiju,,,,,,,
FEUDALJAPAN,TID_SKIN_INFO_FEUDALJAPAN,,,,,,,icon_skins_feudaljapan,,,,,,,
DARKGREEK,TID_SKIN_INFO_DARKGREEK,,,,,,,icon_skins_darkgreek,,,,,,,
FANTASY,TID_SKIN_INFO_FANTASY,,,,,,,icon_skins_fantasy,,,,,,,
SUBWAY,TID_SKIN_INFO_SUBWAY,,,,,,,icon_skins_subway,,,,,,,
STREET,TID_SKIN_INFO_STREET,,,,,,,icon_skins_street,,,,,,,
CARRETA,TID_SKIN_INFO_CARRETA,,,,,,,icon_skins_carretabrawl,,,,,,,
STRANGERTHINGS,TID_SKIN_INFO_STRANGERTHINGS,,,,,,,icon_skins_strangerthings,,,,,,,
GYM,TID_SKIN_INFO_GYM,,,,,,,icon_skins_gym,,,,,,,
STEAMPUNK,TID_SKIN_INFO_STEAMPUNK,,,,,,,icon_skins_steampunk,,,,,,,
WF_2025,TID_SKIN_INFO_WF_2025,,,,,,,icon_skins_wf,,,,,,,
ANIME,TID_SKIN_INFO_ANIME,,,,,,,icon_skins_anime,,,,,,,
STRIKERS,TID_SKIN_INFO_STRIKERS,,,,,,,icon_skins_strikers,,,,,,,
MHA,TID_SKIN_INFO_MHA,,,,,,,icon_skins_mha,,,,,,,
ADIDAS,TID_SKIN_INFO_ADIDAS,,,,,,,icon_skins_adidas,,,-15,,,,
BOXES,TID_SKIN_INFO_BOXES,,,,,,,icon_skins_boxes,,,,,,,
NANO,TID_SKIN_INFO_NANO,,,,,,,icon_skins_nano,,,-30,,,,
WINDSTOCK,TID_SKIN_INFO_WINDSTOCK,,,,,,,icon_skins_windstock,,,-25,,,,
